Disease,Medication,Medication_Telugu
Fungal infection,"Topical Antifungals, Oral Antifungals, Antifungal Shampoos, Antifungal Powders, Intravenous Antifungals","టాపికల్ యాంటీ ఫంగల్స్, ఓరల్ యాంటీ ఫంగల్స్, యాంటీ ఫంగల్ షాంపూలు, యాంటీ ఫంగల్ పౌడర్లు, ఇంట్రావీనస్ యాంటీ ఫంగల్స్"
Allergy,"Antihistamines, Decongestants, Corticosteroids, Leukotriene Receptor Antagonists, Mast Cell Stabilizers, Epinephrine (for severe reactions)","యాంటిహిస్టామైన్లు, డీకాంజెస్టెంట్లు, కార్టికోస్టెరాయిడ్స్, ల్యూకోట్రిన్ రిసెప్టర్ యాంటీగానిస్ట్స్, మాస్ట్ సెల్ స్టెబిలైజర్లు, ఎపినెఫ్రిన్ (తీవ్రమైన ప్రతిచర్యలకు)"
GERD,"Proton Pump Inhibitors (PPIs), H2 Blockers, Antacids, Prokinetics, Antibiotics","ప్రోటాన్ పంప్ ఇన్హిబిటర్లు (PPIలు), H2 బ్లాకర్లు, యాంటాసిడ్లు, ప్రోకైనటిక్స్, యాంటీబయాటిక్స్"
Chronic cholestasis,"Ursodeoxycholic acid, Cholestyramine, Methotrexate, Corticosteroids, Liver transplant","ఉర్సోడియోక్సికోలిక్ యాసిడ్, కొలెస్టైరామైన్, మెథోట్రెక్సేట్, కార్టికోస్టెరాయిడ్స్, లివర్ ట్రాన్స్‌ప్లాంట్"
Drug Reaction,"Antihistamines, Epinephrine, Corticosteroids, Antibiotics, Antifungal Cream","యాంటిహిస్టామైన్లు, ఎపినెఫ్రిన్, కార్టికోస్టెరాయిడ్స్, యాంటీబయాటిక్స్, యాంటీఫంగల్ క్రీమ్"
Peptic ulcer disease,"Antibiotics, Proton Pump Inhibitors (PPIs), H2 Blockers, Antacids, Cytoprotective agents","యాంటీబయాటిక్స్, ప్రోటాన్ పంప్ ఇన్హిబిటర్లు (PPIలు), H2 బ్లాకర్స్, యాంటాసిడ్లు, సైటోప్రొటెక్టివ్ ఏజెంట్లు"
AIDS,"Antiretroviral drugs, Protease inhibitors, Integrase inhibitors, Entry inhibitors, Fusion inhibitors","యాంటీరెట్రోవైరల్ డ్రగ్స్, ప్రోటీజ్ ఇన్హిబిటర్లు, ఇంటిగ్రేజ్ ఇన్హిబిటర్లు, ఎంట్రీ ఇన్హిబిటర్లు, ఫ్యూజన్ ఇన్హిబిటర్లు"
Diabetes,"Insulin, Metformin, Sulfonylureas, DPP-4 inhibitors, GLP-1 receptor agonists","ఇన్సులిన్, మెట్‌ఫార్మిన్, సల్ఫోనిలూరియాస్, DPP-4 ఇన్హిబిటర్లు, GLP-1 రిసెప్టర్ అగోనిస్ట్‌లు"
Gastroenteritis,"Antibiotics, Antiemetic drugs, Antidiarrheal drugs, IV fluids, Probiotics","యాంటీబయాటిక్స్, యాంటీమెటిక్ డ్రగ్స్, యాంటీడయేరియా డ్రగ్స్, IV ఫ్లూయిడ్స్, ప్రోబయోటిక్స్"
Bronchial Asthma,"Bronchodilators, Inhaled corticosteroids, Leukotriene modifiers, Mast cell stabilizers, Anticholinergics","బ్రాంకోడైలేటర్స్, ఇన్హేల్డ్ కార్టికోస్టెరాయిడ్స్, ల్యూకోట్రైన్ మాడిఫైయర్స్, మాస్ట్ సెల్ స్టెబిలైజర్స్, యాంటీకోలినెర్జిక్స్"
Hypertension,"Antihypertensive medications, Diuretics, Beta-blockers, ACE inhibitors, Calcium channel blockers","యాంటీహైపర్‌టెన్సివ్ మందులు, మూత్రవిసర్జన మందులు, బీటా-బ్లాకర్స్, ACE ఇన్హిబిటర్స్, కాల్షియం ఛానల్ బ్లాకర్స్"
Migraine,"Analgesics, Triptans, Ergotamine derivatives, Preventive medications, Biofeedback","అనాల్జెసిక్స్, ట్రిప్టాన్స్, ఎర్గోటమైన్ ఉత్పన్నాలు, నివారణ మందులు, బయోఫీడ్‌బ్యాక్"
Cervical spondylosis,"Pain relievers, Muscle relaxants, Physical therapy, Neck braces, Corticosteroids","నొప్పి నివారణలు, కండరాల సడలింపులు, ఫిజికల్ థెరపీ, మెడ బ్రేసెస్, కార్టికోస్టెరాయిడ్స్"
Paralysis (brain hemorrhage),"Blood thinners, Clot-dissolving medications, Anticonvulsants, Physical therapy, Occupational therapy","రక్తం థిన్నర్లు, క్లాట్-డిస్సలింగ్ మందులు, యాంటీకన్వల్సెంట్లు, ఫిజికల్ థెరపీ, ఆక్యుపేషనల్ థెరపీ"
Jaundice,"IV fluids, Blood transfusions, Liver transplant, Medications for itching, Antiviral medications","IV ద్రవాలు, రక్త మార్పిడి, లివర్ ట్రాన్స్‌ప్లాంట్, దురదకు మందులు, యాంటీవైరల్ మందులు"
Malaria,"Antimalarial drugs, Antipyretics, Antiemetic drugs, IV fluids, Blood transfusions","యాంటీమలేరియల్ మందులు, యాంటీపైరెటిక్స్, యాంటీమెటిక్ మందులు, IV ద్రవాలు, రక్త మార్పిడి"
Chicken pox,"Antiviral drugs, Pain relievers, IV fluids, Blood transfusions, Platelet transfusions","యాంటీవైరల్ మందులు, నొప్పి నివారణలు, IV ద్రవాలు, రక్త మార్పిడి, ప్లేట్‌లెట్ మార్పిడి"
Dengue,"Antibiotics, Antipyretics, Analgesics, IV fluids, Corticosteroids","యాంటీబయాటిక్స్, యాంటీపైరెటిక్స్, అనాల్జెసిక్స్, IV ద్రవాలు, కార్టికోస్టెరాయిడ్స్"
Typhoid,"Vaccination, Antiviral drugs, IV fluids, Blood transfusions, Liver transplant","టీకా, యాంటీవైరల్ మందులు, IV ద్రవాలు, రక్త మార్పిడి, కాలేయ ట్రాన్స్‌ప్లాంట్"
hepatitis A,"Vaccination, Antiviral drugs, IV fluids, Blood transfusions, Liver transplant","టీకా, యాంటీవైరల్ డ్రగ్స్, IV ఫ్లూయిడ్స్, రక్త మార్పిడి, లివర్ ట్రాన్స్‌ప్లాంట్"
Hepatitis B,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant","యాంటీవైరల్ డ్రగ్స్, IV ఫ్లూయిడ్స్, రక్త మార్పిడి, ప్లేట్‌లెట్ ట్రాన్స్‌ప్లాంట్, లివర్ ట్రాన్స్‌ప్లాంట్"
Hepatitis C,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant","యాంటీవైరల్ డ్రగ్స్, IV ఫ్లూయిడ్స్, రక్త మార్పిడి, ప్లేట్‌లెట్ ట్రాన్స్‌ప్లాంట్, లివర్ ట్రాన్స్‌ప్లాంట్"
Hepatitis D,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant","యాంటీవైరల్ డ్రగ్స్, IV ఫ్లూయిడ్స్, రక్త మార్పిడి, ప్లేట్‌లెట్ ట్రాన్స్‌ప్లాంట్, లివర్ ట్రాన్స్‌ప్లాంట్"
Hepatitis E,"Alcohol cessation, Corticosteroids, IV fluids, Liver transplant, Nutritional support","ఆల్కహాల్ విరమణ, కార్టికోస్టెరాయిడ్స్, IV ఫ్లూయిడ్స్, లివర్ ట్రాన్స్‌ప్లాంట్, న్యూట్రిషనల్ సపోర్ట్"
Alcoholic hepatitis,"Antibiotics, Isoniazid, Rifampin, Ethambutol, Pyrazinamide","యాంటీబయాటిక్స్, ఐసోనియాజిడ్, రిఫాంపిన్, ఇథాంబుటోల్, పైరాజినమైడ్"
Tuberculosis,"Antipyretics, Decongestants, Cough suppressants, Antihistamines, Pain relievers","యాంటీపైరెటిక్స్, డీకంగెస్టెంట్స్, దగ్గును అణిచివేసే మందులు, యాంటీహిస్టామైన్లు, నొప్పి నివారణలు"
Common Cold,"Antibiotics, Antiviral drugs, Antifungal drugs, IV fluids, Oxygen therapy","యాంటీబయాటిక్స్, యాంటీవైరల్ డ్రగ్స్, యాంటీ ఫంగల్ డ్రగ్స్, IV ఫ్లూయిడ్స్, ఆక్సిజన్ థెరపీ"
Pneumonia,"Laxatives, Pain relievers, Warm baths, Cold compresses, High-fiber diet","భేదిమందులు, నొప్పి నివారిణులు, వెచ్చని స్నానాలు, చల్లని సంపీడనాలు, అధిక ఫైబర్ ఆహారం"
Dimorphic hemmorhoids(piles),"Nitroglycerin, Aspirin, Beta-blockers, Calcium channel blockers, Thrombolytic drugs","నైట్రోగ్లిజరిన్, ఆస్పిరిన్, బీటా-బ్లాకర్స్, కాల్షియం ఛానల్ బ్లాకర్స్, థ్రోంబోలైటిక్ డ్రగ్స్"
Heart attack,"Compression stockings, Exercise, Elevating the legs, Sclerotherapy, Laser treatments","కంప్రెషన్ స్టాకింగ్స్, వ్యాయామం, కాళ్ళను పైకి లేపడం, స్క్లెరోథెరపీ, లేజర్ చికిత్సలు"
Varicose veins,"Levothyroxine, Antithyroid medications, Beta-blockers, Radioactive iodine, Thyroid surgery","లెవోథైరాక్సిన్, యాంటీథైరాయిడ్ మందులు, బీటా-బ్లాకర్స్, రేడియోయాక్టివ్ అయోడిన్, థైరాయిడ్ సర్జరీ"
Hypothyroidism,"Antithyroid medications, Radioactive iodine, Thyroid surgery, Beta-blockers, Corticosteroids","యాంటీథైరాయిడ్ మందులు, రేడియోయాక్టివ్ అయోడిన్, థైరాయిడ్ సర్జరీ, బీటా-బ్లాకర్స్, కార్టికోస్టెరాయిడ్స్"
Hyperthyroidism,"Glucose tablets, Candy or juice, Glucagon injection, IV dextrose, Diazoxide","గ్లూకోజ్ మాత్రలు, క్యాండీ లేదా రసం, గ్లూకాగాన్ ఇంజెక్షన్, IV డెక్స్ట్రోస్, డయాజాక్సైడ్"
Hypoglycemia,"Pain relievers, Exercise, Hot and cold packs, Joint protection, Physical therapy","నొప్పి నివారణలు, వ్యాయామం, వేడి మరియు చల్లని ప్యాక్‌లు, కీళ్ల రక్షణ, శారీరక చికిత్స"
Osteoarthristis,"NSAIDs, Disease-modifying antirheumatic drugs (DMARDs), Biologics, Corticosteroids, Joint replacement surgery","NSAIDలు, వ్యాధిని సవరించే యాంటీ రుమాటిక్ మందులు (DMARDలు), బయోలాజిక్స్, కార్టికోస్టెరాయిడ్స్, కీళ్ల భర్తీ శస్త్రచికిత్స"
Arthritis,"Vestibular rehabilitation, Canalith repositioning, Medications for nausea, Surgery, Home exercises","వెస్టిబ్యులర్ పునరావాసం, కెనాలిత్ రీపొజిషనింగ్, వికారం కోసం మందులు, సర్జరీ, హోమ్ వ్యాయామాలు"
(vertigo) Paroymsal Positional Vertigo,"Topical treatments, Antibiotics, Oral medications, Hormonal treatments, Isotretinoin","టాపికల్ ట్రీట్‌మెంట్స్, యాంటీబయాటిక్స్, ఓరల్ మెడిసిన్స్, హార్మోనల్ ట్రీట్‌మెంట్స్, ఐసోట్రిటినోయిన్"
Acne,"Antibiotics, Pain relievers, Antihistamines, Corticosteroids, Topical treatments","యాంటీబయాటిక్స్, నొప్పి నివారణలు, యాంటిహిస్టామైన్లు, కార్టికోస్టెరాయిడ్స్, టాపికల్ ట్రీట్‌మెంట్స్"
Urinary tract infection,"Antibiotics, Urinary analgesics, Phenazopyridine, Antispasmodics, Probiotics","యాంటీబయాటిక్స్, యూరినరీ అనాల్జెసిక్స్, ఫెనాజోపైరిడిన్, యాంటిస్పాస్మోడిక్స్, ప్రోబయోటిక్స్"
Psoriasis,"Topical treatments, Phototherapy, Systemic medications, Biologics, Coal tar","టాపికల్ ట్రీట్‌మెంట్స్, ఫోటోథెరపీ, సిస్టమిక్ మెడిసిన్స్, బయోలాజిక్స్, కోల్ టార్"
Impetigo,"Topical antibiotics, Oral antibiotics, Antiseptics, Ointments, Warm compresses","టాపికల్ యాంటీబయాటిక్స్, ఓరల్ యాంటీబయాటిక్స్, యాంటిసెప్టిక్స్, లేపనాలు, వార్మ్ కంప్రెసెస్"